100, AAA, "Random product AAA.", "28", SHOE_EU
101, AAA, "Random product AAA.", "22", SHOE_EU
102, AAA, "Random product AAA.", "38", SHOE_EU
103, AAA, "Random product AAA.", "36", SHOE_EU
104, AAA, "Random product AAA.", "32", SHOE_EU
105, AAA, "Random product AAA.", "25", SHOE_EU
106, AAB, "Random product AAB.", "20", SHOE_EU
107, AAB, "Random product AAB.", "40", SHOE_EU
108, AAB, "Random product AAB.", "36", SHOE_EU
109, AAB, "Random product AAB.", "32", SHOE_EU
110, AAB, "Random product AAB.", "25", SHOE_EU
111, AAB, "Random product AAB.", "35", SHOE_EU
112, AAC, "Random product AAC.", "XXL", CLOTHING_SHORT
113, AAC, "Random product AAC.", "XXXXL", CLOTHING_SHORT
114, AAC, "Random product AAC.", "XS", CLOTHING_SHORT
115, AAC, "Random product AAC.", "L", CLOTHING_SHORT
116, AAC, "Random product AAC.", "M", CLOTHING_SHORT
117, AAC, "Random product AAC.", "XXXL", CLOTHING_SHORT
118, AAD, "Random product AAD.", "46", SHOE_EU
119, AAD, "Random product AAD.", "33", SHOE_EU
120, AAD, "Random product AAD.", "36", SHOE_EU
121, AAD, "Random product AAD.", "31", SHOE_EU
122, AAD, "Random product AAD.", "49", SHOE_EU
123, AAD, "Random product AAD.", "37", SHOE_EU
124, AAD, "Random product AAD.", "47", SHOE_EU
125, AAE, "Random product AAE.", "11 (Child)", SHOE_UK
126, AAE, "Random product AAE.", "1 ", SHOE_UK
127, AAE, "Random product AAE.", "9 (Child)", SHOE_UK
128, AAE, "Random product AAE.", "4.5 (Child)", SHOE_UK
129, AAF, "Random product AAF.", "XL", CLOTHING_SHORT
130, AAF, "Random product AAF.", "S", CLOTHING_SHORT
131, AAF, "Random product AAF.", "M", CLOTHING_SHORT
132, AAF, "Random product AAF.", "L", CLOTHING_SHORT
133, AAF, "Random product AAF.", "XXL", CLOTHING_SHORT
134, AAG, "Random product AAG.", "33", SHOE_EU
135, AAG, "Random product AAG.", "48", SHOE_EU
136, AAH, "Random product AAH.", "47", SHOE_EU
137, AAH, "Random product AAH.", "25", SHOE_EU
138, AAH, "Random product AAH.", "24", SHOE_EU
139, AAI, "Random product AAI.", "10.5 (Child)", SHOE_UK
140, AAI, "Random product AAI.", "2 (Child)", SHOE_UK
141, AAI, "Random product AAI.", "9 (Child)", SHOE_UK
142, AAJ, "Random product AAJ.", "2 ", SHOE_UK
143, AAJ, "Random product AAJ.", "2 (Child)", SHOE_UK
144, AAK, "Random product AAK.", "12.5 ", SHOE_UK
145, AAK, "Random product AAK.", "6.5 ", SHOE_UK
146, AAK, "Random product AAK.", "8 (Child)", SHOE_UK
147, AAK, "Random product AAK.", "12 ", SHOE_UK
148, AAK, "Random product AAK.", "9.5 (Child)", SHOE_UK
149, AAL, "Random product AAL.", "23", SHOE_EU
150, AAL, "Random product AAL.", "47", SHOE_EU
151, AAL, "Random product AAL.", "37", SHOE_EU
152, AAL, "Random product AAL.", "24", SHOE_EU
153, AAL, "Random product AAL.", "48", SHOE_EU
154, AAL, "Random product AAL.", "20", SHOE_EU
155, AAL, "Random product AAL.", "26", SHOE_EU
156, AAM, "Random product AAM.", "10.5 (Child)", SHOE_UK
157, AAM, "Random product AAM.", "1 ", SHOE_UK
158, AAM, "Random product AAM.", "4 ", SHOE_UK
159, AAM, "Random product AAM.", "5 (Child)", SHOE_UK
160, AAM, "Random product AAM.", "10.5 ", SHOE_UK
161, AAN, "Random product AAN.", "XS", CLOTHING_SHORT
162, AAN, "Random product AAN.", "S", CLOTHING_SHORT
163, AAN, "Random product AAN.", "XL", CLOTHING_SHORT
164, AAN, "Random product AAN.", "XXXXL", CLOTHING_SHORT
165, AAN, "Random product AAN.", "XXL", CLOTHING_SHORT
